P_City,SaleDate,TotalSales,Cum_Sales
" ANTIOCH",2015-02-10,1028000,717961133
" ANTIOCH",2015-02-11,593000,718554133
" ANTIOCH",2015-02-12,1169244,719723377
" ANTIOCH",2015-02-13,2247100,721970477
" ANTIOCH",2015-02-17,230000,722200477
" ANTIOCH",2015-02-18,512365,722712842
" ANTIOCH",2015-02-19,427500,723140342
" ANTIOCH",2015-02-20,1168030,724308372
" ANTIOCH",2015-02-25,623900,724932272
" ANTIOCH",2015-02-26,662000,725594272
" ANTIOCH",2015-03-02,627500,726221772
" ANTIOCH",2015-03-03,374000,726595772
" ANTIOCH",2015-03-04,277100,726872872
" ANTIOCH",2015-03-05,321000,727193872
" ANTIOCH",2015-03-06,876906,728070778
" ANTIOCH",2015-03-09,235900,728306678
" ANTIOCH",2015-03-10,628147,728934825
" ANTIOCH",2015-03-11,1043500,729978325
" ANTIOCH",2015-03-12,462359,730440684
" ANTIOCH",2015-03-13,1470080,731910764
" ANTIOCH",2015-03-16,1570200,733480964
" ANTIOCH",2015-03-17,561900,734042864
" ANTIOCH",2015-03-18,418883,734461747
" ANTIOCH",2015-03-19,991228,735452975
" ANTIOCH",2015-03-20,180000,735632975
" ANTIOCH",2015-03-23,680000,736312975
" ANTIOCH",2015-03-24,497900,736810875
" ANTIOCH",2015-03-25,327000,737137875
" ANTIOCH",2015-03-26,787115,737924990
" ANTIOCH",2015-03-27,1828700,739753690
" ANTIOCH",2015-03-28,139000,739892690
" ANTIOCH",2015-03-30,755490,740648180
" ANTIOCH",2015-03-31,15916455,756564635
" ANTIOCH",2015-04-01,560775,757125410
" ANTIOCH",2015-04-02,1235096,758360506
" ANTIOCH",2015-04-03,1285698,759646204
" ANTIOCH",2015-04-06,401996,760048200
" ANTIOCH",2015-04-07,296000,760344200
" ANTIOCH",2015-04-08,685000,761029200
" ANTIOCH",2015-04-09,184000,761213200
" ANTIOCH",2015-04-10,2058493,763271693
" ANTIOCH",2015-04-13,1307215,764578908
" ANTIOCH",2015-04-14,572500,765151408
" ANTIOCH",2015-04-15,1052890,766204298
" ANTIOCH",2015-04-16,954498,767158796
" ANTIOCH",2015-04-17,1386990,768545786
" ANTIOCH",2015-04-20,1009000,769554786
" ANTIOCH",2015-04-21,600600,770155386
" ANTIOCH",2015-04-22,645900,770801286
" ANTIOCH",2015-04-23,836900,771638186
" ANTIOCH",2015-04-24,744412,772382598
" ANTIOCH",2015-04-27,412100,772794698
" ANTIOCH",2015-04-28,566900,773361598
" ANTIOCH",2015-04-29,787500,774149098
" ANTIOCH",2015-04-30,2573360,776722458
" ANTIOCH",2015-05-01,1943540,778665998
" ANTIOCH",2015-05-04,135000,778800998
" ANTIOCH",2015-05-05,744851,779545849
" ANTIOCH",2015-05-06,510000,780055849
" ANTIOCH",2015-05-07,491000,780546849
" ANTIOCH",2015-05-08,46057000,826603849
" ANTIOCH",2015-05-09,202000,826805849
" ANTIOCH",2015-05-11,45966986,872772835
" ANTIOCH",2015-05-12,373000,873145835
" ANTIOCH",2015-05-13,502000,873647835
" ANTIOCH",2015-05-14,408400,874056235
" ANTIOCH",2015-05-15,1623535,875679770
" ANTIOCH",2015-05-18,1018190,876697960
" ANTIOCH",2015-05-19,1531247,878229207
" ANTIOCH",2015-05-20,693147,878922354
" ANTIOCH",2015-05-21,861800,879784154
" ANTIOCH",2015-05-22,1462313,881246467
" ANTIOCH",2015-05-26,2268450,883514917
" ANTIOCH",2015-05-27,1395843,884910760
" ANTIOCH",2015-05-28,1871352,886782112
" ANTIOCH",2015-05-29,5287767,892069879
" ANTIOCH",2015-06-01,1685000,893754879
" ANTIOCH",2015-06-02,183000,893937879
" ANTIOCH",2015-06-03,548400,894486279
" ANTIOCH",2015-06-04,839400,895325679
" ANTIOCH",2015-06-05,1418422,896744101
